25.05.2015 12:34:08.28160 (0.9989880)Log "Roblox"
12:34:08.28160 (0.9989880)          Http initialization M1 = 0xef6258 M2=0xef625c
12:34:08.28160 (1.0052188)          ROBLOX InitInstance
12:34:11.31160 (3.8459998)          CrashReporter Start
12:34:11.31160 (3.9967058)          C:\This\is\a\folder\that\is\not\suspicious\at\all\Hentai\RobloxStudio.exe
12:34:27.47160 (20.0648743)          setAssetFolder C:\This\is\a\folder\that\is\not\SUSPIC~1\at\all\Hentai\content
12:34:29.49160 (21.7490467)          GlobalSettings ---------------------------------------
12:34:29.49160 (21.7490467)          	Selection
12:34:29.49160 (21.7500472)          		Behavior.Archivable: true
12:34:29.49160 (21.7500472)          		Data.ClassName: Selection
12:34:29.49160 (21.7500472)          		Data.DataCost: 4
12:34:29.49160 (21.7540491)          		Data.Name: Selection
12:34:29.49160 (21.7540491)          		Data.RobloxLocked: false
12:34:29.49160 (21.7540491)          		Behavior.archivable: true
12:34:29.49160 (21.7550496)          		Data.className: Selection
12:34:29.49160 (21.7560501)          	Game Options
12:34:29.49160 (21.7570506)          		Behavior.Archivable: true
12:34:29.49160 (21.7570506)          		Online.BubbleChatLifetime: 30
12:34:29.49160 (21.7570506)          		Online.BubbleChatMaxBubbles: 3
12:34:29.49160 (21.7570506)          		Online.ChatHistory: 100
12:34:29.49160 (21.7570506)          		Online.ChatScrollLength: 5
12:34:29.49160 (21.7570506)          		Data.ClassName: GameSettings
12:34:29.49160 (21.7570506)          		Sound.CollisionSoundEnabled: true
12:34:29.49160 (21.7570506)          		Sound.CollisionSoundVolume: 10
12:34:29.49160 (21.7590515)          		Data.DataCost: 4
12:34:29.49160 (21.7600520)          		Input.HardwareMouse: false
12:34:29.49160 (21.7600520)          		Screenshots.ImageUploadPromptBehavior: Ask
12:34:29.49160 (21.7600520)          		Sound.MaxCollisionSounds: -1
12:34:29.49160 (21.7600520)          		Data.Name: Game Options
12:34:29.49160 (21.7600520)          		Online.ReportAbuseChatHistory: 50
12:34:29.49160 (21.7600520)          		Data.RobloxLocked: false
12:34:29.49160 (21.7600520)          		Sound.SoftwareSound: false
12:34:29.49160 (21.7600520)          		Sound.SoundEnabled: true
12:34:29.49160 (21.7600520)          		Video.VideoCaptureEnabled: true
12:34:29.49160 (21.7600520)          		Video.VideoQuality: MediumResolution
12:34:29.49160 (21.7600520)          		Behavior.archivable: true
12:34:29.49160 (21.7600520)          		Data.className: GameSettings
12:34:29.49160 (21.7600520)          	Lua
12:34:29.49160 (21.7610525)          		Behavior.Archivable: true
12:34:29.49160 (21.7610525)          		Diagnostics.AreScriptStartsReported: false
12:34:29.49160 (21.7620530)          		Data.ClassName: LuaSettings
12:34:29.49160 (21.7620530)          		Data.DataCost: 4
12:34:29.49160 (21.7620530)          		Settings.DefaultWaitTime: 0.029999999999999999
12:34:29.49160 (21.7620530)          		Garbage Collection.GcFrequency: 0
12:34:29.49160 (21.7630535)          		Garbage Collection.GcLimit: 2
12:34:29.49160 (21.7630535)          		Garbage Collection.GcPause: 200
12:34:29.49160 (21.7630535)          		Garbage Collection.GcStepMul: 200
12:34:29.49160 (21.7630535)          		Data.Name: Lua
12:34:29.49160 (21.7630535)          		Data.RobloxLocked: false
12:34:29.49160 (21.7630535)          		Settings.WaitingThreadsBudget: 0.100000001
12:34:29.49160 (21.7630535)          		Behavior.archivable: true
12:34:29.49160 (21.7630535)          		Data.className: LuaSettings
12:34:29.49160 (21.7630535)          	Diagnostics
12:34:29.49160 (21.7630535)          		Performance.AltCdnFailureCount: 0
12:34:29.49160 (21.7630535)          		Performance.AltCdnSuccessCount: 0
12:34:29.49160 (21.7630535)          		Behavior.Archivable: true
12:34:29.49160 (21.7640539)          		Performance.AvailablePhysicalMemory: 1232
12:34:29.49160 (21.7640539)          		Performance.BlockMeshSize: 0
12:34:29.49160 (21.7640539)          		Profile.CPU: AMD E1-6010 APU with AMD Radeon R2 Graphics    
12:34:29.49160 (21.7640539)          		Performance.CdnFailureCount: 0
12:34:29.49160 (21.7640539)          		Performance.CdnResponceTime: 0
12:34:29.49160 (21.7640539)          		Performance.CdnSuccessCount: 0
12:34:29.49160 (21.7640539)          		Data.ClassName: DebugSettings
12:34:29.49160 (21.7640539)          		Profile.CpuCount: 2
12:34:29.49160 (21.7640539)          		Profile.CpuSpeed: 1347
12:34:29.49160 (21.7640539)          		Data.DataCost: 4
12:34:29.49160 (21.7640539)          		Performance.DataModel: 0
12:34:29.49160 (21.7640539)          		Performance.ElapsedTime: 0
12:34:29.49160 (21.7640539)          		Limits.EnforceInstanceCountLimit: false
