26.05.2015 08:23:19.52440 (0.4350291)Log "Roblox"
08:23:19.52440 (0.4350291)          Http initialization M1 = 0xd491f0 M2=0xd491f4
08:23:19.52440 (0.4430293)          ROBLOX InitInstance
08:23:21.54440 (2.7088423)          CrashReporter Start
08:23:21.54440 (2.7842648)          D:\ROBLOX-Portable-master\RobloxVersions\version-844560f43f354d3f\RobloxApp.exe
08:23:27.60440 (8.8567858)          setAssetFolder D:\ROBLOX~1\ROBLOX~2\VERSIO~1\content
08:23:27.60440 (8.8717836)          GlobalSettings ---------------------------------------
08:23:27.60440 (8.8717836)          	Game Options
08:23:27.60440 (8.8727834)          		Behavior.Archivable: true
08:23:27.60440 (8.8727834)          		Online.BubbleChatLifetime: 30
08:23:27.60440 (8.8727834)          		Online.BubbleChatMaxBubbles: 3
08:23:27.60440 (8.8727834)          		Online.ChatHistory: 100
08:23:27.60440 (8.8727834)          		Online.ChatScrollLength: 5
08:23:27.60440 (8.8727834)          		Data.ClassName: GameSettings
08:23:27.60440 (8.8727834)          		Sound.CollisionSoundEnabled: true
08:23:27.60440 (8.8727834)          		Sound.CollisionSoundVolume: 10
08:23:27.60440 (8.8727834)          		Data.DataCost: 4
08:23:27.60440 (8.8727834)          		Input.HardwareMouse: false
08:23:27.60440 (8.8727834)          		Screenshots.ImageUploadPromptBehavior: Ask
08:23:27.60440 (8.8737833)          		Sound.MaxCollisionSounds: -1
08:23:27.60440 (8.8737833)          		Data.Name: Game Options
08:23:27.60440 (8.8737833)          		Online.ReportAbuseChatHistory: 50
08:23:27.60440 (8.8737833)          		Data.RobloxLocked: false
08:23:27.60440 (8.8737833)          		Sound.SoftwareSound: false
08:23:27.60440 (8.8737833)          		Sound.SoundEnabled: true
08:23:27.60440 (8.8737833)          		Video.VideoCaptureEnabled: true
08:23:27.60440 (8.8737833)          		Video.VideoQuality: MediumResolution
08:23:27.60440 (8.8737833)          		Behavior.archivable: true
08:23:27.60440 (8.8737833)          		Data.className: GameSettings
08:23:27.60440 (8.8737833)          	Lua
08:23:27.60440 (8.8737833)          		Behavior.Archivable: true
08:23:27.60440 (8.8737833)          		Diagnostics.AreScriptStartsReported: false
08:23:27.60440 (8.8737833)          		Data.ClassName: LuaSettings
08:23:27.60440 (8.8737833)          		Data.DataCost: 4
08:23:27.60440 (8.8737833)          		Settings.DefaultWaitTime: 0
08:23:27.60440 (8.8747831)          		Garbage Collection.GcFrequency: 0
08:23:27.60440 (8.8747831)          		Garbage Collection.GcLimit: 2
08:23:27.60440 (8.8747831)          		Garbage Collection.GcPause: 200
08:23:27.60440 (8.8747831)          		Garbage Collection.GcStepMul: 200
08:23:27.60440 (8.8747831)          		Data.Name: Lua
08:23:27.60440 (8.8747831)          		Data.RobloxLocked: false
08:23:27.60440 (8.8747831)          		Behavior.archivable: true
08:23:27.60440 (8.8747831)          		Data.className: LuaSettings
08:23:27.60440 (8.8747831)          	Diagnostics
08:23:27.60440 (8.8747831)          		Performance.AltCdnFailureCount: 0
08:23:27.60440 (8.8747831)          		Performance.AltCdnSuccessCount: 0
08:23:27.60440 (8.8747831)          		Behavior.Archivable: true
08:23:27.60440 (9.1416002)          		Performance.AvailablePhysicalMemory: 796
08:23:27.60440 (9.1416002)          		Performance.BlockMeshSize: 0
08:23:27.60440 (9.1416002)          		Profile.CPU: AMD E1-6010 APU with AMD Radeon R2 Graphics    
08:23:27.60440 (9.1416002)          		Performance.CdnFailureCount: 0
08:23:27.60440 (9.1425952)          		Performance.CdnResponceTime: 0
08:23:27.60440 (9.1425952)          		Performance.CdnSuccessCount: 0
08:23:27.60440 (9.1425952)          		Data.ClassName: DebugSettings
08:23:27.60440 (9.1425952)          		Profile.CpuCount: 2
08:23:27.60440 (9.1435903)          		Profile.CpuSpeed: 1347
08:23:27.60440 (9.1435903)          		Data.DataCost: 4
08:23:27.60440 (9.1435903)          		Performance.DataModel: 0
08:23:27.60440 (9.1435903)          		Performance.ElapsedTime: 0
08:23:27.60440 (9.1435903)          		Limits.EnforceInstanceCountLimit: false
08:23:27.60440 (9.1435903)          		Errors.ErrorReporting: Report
08:23:31.64440 (12.7340792)          		Profile.GfxCard: AMD Radeon(TM) R2 Graphics drv=13.351.1105.1001
08:23:31.64440 (12.7340792)          		Performance.InstanceCount: 10
08:23:31.64440 (12.7340792)          		Limits.InstanceCountLimit: 0
08:23:31.64440 (12.7340792)          		Benchmarking.IsFmodProfilingEnabled: false
08:23:31.64440 (12.7340792)          		Benchmarking.IsProfilingEnabled: false
08:23:31.64440 (12.7340792)          		Errors.IsScriptStackTracingEnabled: true
08:23:31.64440 (12.7350793)          		Performance.JobCount: 0
08:23:31.64440 (12.7350793)          		Performance.LastCdnFailureTimeSpan: 0
08:23:31.64440 (12.7350793)          		Limits.LuaRamLimit: 0
08:23:31.64440 (12.7350793)          		Data.Name: Diagnostics
08:23:31.64440 (12.7350793)          		Performance.NameDatabaseBytes: 139968
08:23:31.64440 (12.7350793)          		Performance.NameDatabaseSize: 2187
08:23:31.64440 (12.7350793)          		Profile.OsPlatform: Win32
