26.05.2015 08:25:18.40368 (119.8131241)Log "Roblox TaskScheduler Thread 2"
08:25:18.40368 (119.8131241)          CmdUtl v3.0.0 loaded
09:02:28.42144 (2349.4867846)          CmdUtl removed
09:02:34.48144 (2355.6202634) Error:   No assetUrl set
09:02:34.48144 (2355.6212636)          Script "Test.lua", Line 12
09:02:34.48144 (2355.6212636)          stack end
09:02:34.48144 (2355.6212636) Error:   Test.lua:12: attempt to call method 'GetChildren' (a nil value)
09:02:34.48144 (2355.6212636)          Script "Test.lua", Line 12
09:02:34.48144 (2355.6212636)          stack end
09:02:37.51144 (2358.6543967) Error:   No assetUrl set
09:02:37.51144 (2358.6543967)          Script "Test.lua", Line 12
09:02:37.51144 (2358.6543967)          stack end
09:02:37.51144 (2358.6543967) Error:   Test.lua:12: attempt to call method 'GetChildren' (a nil value)
09:02:37.51144 (2358.6543967)          Script "Test.lua", Line 12
09:02:37.51144 (2358.6543967)          stack end
26.05.2015 09:03:07.15608 (2388.9905309)End Log
