27.05.2015 08:03:37.50088 (3.3322117)Log "RobloxStudio"
08:03:37.50088 (3.3322117)          CrashReporter Start
08:03:37.50088 (3.3652168)          Initializing CrashEvent request, url: http://www.roblox.com/Error/Dmp.ashx?filename=C%3A%5CUsers%5CStudent%5CAppData%5CLocal%5CRoblox%5Clogs%5Clog%5F2487C%200%2C%20196%2C%200%2C%2059751%2ERobloxStudio%2Ecrashevent
08:03:37.50088 (3.3662169)          RobloxMainWindow::RobloxMainWindow - start
08:03:39.52088 (4.9793191)          setAssetFolder D:/ROBLOX-Portable-master/RobloxVersions/version-615500bf52054337/content
08:03:45.58088 (11.3176992)          Use the new http api: yes
08:03:55.2552 (21.6343761)          RobloxMainWindow::handleFileOpen 
08:03:55.2552 (21.6353755)          RobloxMainWindow::handleFileOpen 
08:03:55.2552 (21.6943384)          RobloxMainWindow::RobloxMainWindow - end
08:04:19.26552 (45.1165792)          RobloxMainWindow::handleFileOpen http://www.roblox.com//Game/edit.ashx?PlaceID=95206881&upload=&testmode=false
08:04:19.26552 (45.1175791)          RobloxIDEDoc::open - start
08:04:19.26552 (45.6635914)          	Locking DataModel
08:04:20.27552 (45.8311097)          	Initializing Ogre
08:04:20.27552 (45.8321098)          	Initializing View
08:04:20.27552 (45.9181212)          	Initializing Explorer
08:04:20.27552 (46.0501367)          	Loading File : 
08:04:22.29552 (47.7367110)          	Loading Plugins
08:04:22.29552 (48.4487304)          	Open Success
08:04:22.29552 (48.4647302)          RobloxIDEDoc::open - end
08:04:28.35552 (54.0019771)          		RobloxView::RobloxView - start
08:04:28.35552 (54.0019771)          			UserInput
08:04:31.38552 (57.3442934)          			Marshaller
08:04:31.38552 (57.3442934)          			ProfilingSection
08:04:31.38552 (57.3442934)          			BindToWorkspace
08:04:31.38552 (57.5165998)          			RenderRequestJob
08:04:31.38552 (57.5165998)          			RenderJob
08:04:31.38552 (57.5165998)          			WrapMouseJob
08:04:31.38552 (57.5175941)          			ConfigureStats
08:04:31.38552 (57.5185884)          		RobloxView::RobloxView - end
08:06:06.2480 (152.2856327)          Auto-Saving...
08:06:09.5480 (154.9689397)          		RobloxView::RobloxView - start
08:06:09.5480 (154.9689397)          			UserInput
08:06:11.7480 (156.7265896)          			Marshaller
08:06:11.7480 (156.7265896)          			ProfilingSection
08:06:11.7480 (156.8927320)          			BindToWorkspace
08:06:11.7480 (157.0435465)          			RenderRequestJob
08:06:11.7480 (157.0435465)          			RenderJob
08:06:11.7480 (157.0435465)          			WrapMouseJob
08:06:11.7480 (157.0435465)          			ConfigureStats
08:06:11.7480 (157.0445452)          		RobloxView::RobloxView - end
08:06:35.31480 (181.4616727)          Layout Set Buttons index=1, InsertSets=8
08:07:09.65480 (214.7623835)          		RobloxView::RobloxView - start
08:07:09.65480 (214.7623835)          			UserInput
08:07:11.1944 (217.2782108)          			Marshaller
08:07:11.1944 (217.2782108)          			ProfilingSection
08:07:11.1944 (217.2782108)          			BindToWorkspace
08:07:11.1944 (217.6312372)          			RenderRequestJob
08:07:11.1944 (217.6312372)          			RenderJob
08:07:11.1944 (217.6312372)          			WrapMouseJob
08:07:11.1944 (217.6312372)          			ConfigureStats
08:07:11.1944 (217.6322372)          		RobloxView::RobloxView - end
08:08:46.31408 (312.2282188)          Auto-Saving...
08:13:46.3728 (612.0763200)          Auto-Saving...
08:17:12.13120 (818.6186907)          Auto-Saving...
08:17:13.14120 (819.4877670)          		RobloxView::RobloxView - start
08:17:13.14120 (819.4877670)          			UserInput
08:17:13.14120 (819.5907803)          			Marshaller
08:17:13.14120 (819.5907803)          			ProfilingSection
08:17:13.14120 (819.5907803)          			BindToWorkspace
08:17:14.15120 (819.7667908)          			RenderRequestJob
08:17:14.15120 (819.7667908)          			RenderJob
08:17:14.15120 (819.7667908)          			WrapMouseJob
08:17:14.15120 (819.7667908)          			ConfigureStats
08:17:14.15120 (819.7667908)          		RobloxView::RobloxView - end
08:17:34.35120 (840.0754647)          Layout Set Buttons index=1, InsertSets=6
08:20:15.65048 (1001.5903004)          		RobloxView::RobloxView - start
08:20:15.65048 (1001.5903004)          			UserInput
08:20:16.512 (1001.7012920)          			Marshaller
08:20:16.512 (1001.7012920)          			ProfilingSection
08:20:16.512 (1001.7022920)          			BindToWorkspace
08:20:16.512 (1001.8542240)          			RenderRequestJob
08:20:16.512 (1001.8542240)          			RenderJob
08:20:16.512 (1001.8542240)          			WrapMouseJob
08:20:16.512 (1001.8542240)          			ConfigureStats
08:20:16.512 (1001.8542240)          		RobloxView::RobloxView - end
08:22:51.24440 (1157.3277730)          Auto-Saving...
08:22:52.25440 (1158.3462479)          		RobloxView::RobloxView - start
08:22:52.25440 (1158.3462479)          			UserInput
08:22:52.25440 (1158.6162657)          			Marshaller
08:22:52.25440 (1158.6162657)          			ProfilingSection
08:22:52.25440 (1158.6162657)          			BindToWorkspace
08:22:53.26440 (1158.7622949)          			RenderRequestJob
08:22:53.26440 (1158.7622949)          			RenderJob
08:22:53.26440 (1158.7622949)          			WrapMouseJob
08:22:53.26440 (1158.7622949)          			ConfigureStats
08:22:53.26440 (1158.7632950)          		RobloxView::RobloxView - end
08:23:20.53440 (1186.1563554)          Board unequipped
08:23:20.53440 (1186.2203609)          		RobloxView::RobloxView - start
08:23:20.53440 (1186.2203609)          			UserInput
08:23:20.53440 (1186.3334601)          			Marshaller
08:23:20.53440 (1186.3334601)          			ProfilingSection
08:23:20.53440 (1186.3334601)          			BindToWorkspace
08:23:20.53440 (1186.4672550)          			RenderRequestJob
08:23:20.53440 (1186.4682476)          			RenderJob
08:23:20.53440 (1186.4682476)          			WrapMouseJob
08:23:20.53440 (1186.4682476)          			ConfigureStats
08:23:20.53440 (1186.4682476)          		RobloxView::RobloxView - end
08:23:46.13904 (1212.0530534)          Auto-Saving...
08:24:09.36904 (1235.5130791)          Auto-Saving...
08:24:10.37904 (1236.0851302)          		RobloxView::RobloxView - start
08:24:10.37904 (1236.0851302)          			UserInput
08:24:10.37904 (1236.5841780)          			Marshaller
08:24:10.37904 (1236.5841780)          			ProfilingSection
08:24:10.37904 (1236.5851781)          			BindToWorkspace
08:24:11.38904 (1236.7551842)          			RenderRequestJob
08:24:11.38904 (1236.7551842)          			RenderJob
08:24:11.38904 (1236.7551842)          			WrapMouseJob
08:24:11.38904 (1236.7551842)          			ConfigureStats
08:24:11.38904 (1236.7551842)          		RobloxView::RobloxView - end
08:24:39.1368 (1265.2657350)          Board unequipped
08:24:39.1368 (1265.3147429)          		RobloxView::RobloxView - start
08:24:39.1368 (1265.3157431)          			UserInput
08:24:39.1368 (1265.3887191)          			Marshaller
08:24:39.1368 (1265.3887191)          			ProfilingSection
08:24:39.1368 (1265.3887191)          			BindToWorkspace
08:24:39.1368 (1265.5147027)          			RenderRequestJob
08:24:39.1368 (1265.5147027)          			RenderJob
08:24:39.1368 (1265.5147027)          			WrapMouseJob
08:24:39.1368 (1265.5147027)          			ConfigureStats
08:24:39.1368 (1265.5167025)          		RobloxView::RobloxView - end
08:26:28.44832 (1373.8883161)          Auto-Saving...
08:26:29.45832 (1374.6763780)          		RobloxView::RobloxView - start
08:26:29.45832 (1374.6773781)          			UserInput
08:26:29.45832 (1374.8643858)          			Marshaller
08:26:29.45832 (1374.8653854)          			ProfilingSection
08:26:29.45832 (1374.8663850)          			BindToWorkspace
08:26:29.45832 (1375.0194209)          			RenderRequestJob
08:26:29.45832 (1375.0194209)          			RenderJob
08:26:29.45832 (1375.0194209)          			WrapMouseJob
08:26:29.45832 (1375.0194209)          			ConfigureStats
08:26:29.45832 (1375.0204211)          		RobloxView::RobloxView - end
08:26:31.47832 (1376.7940618)          Baseplate waiting for Teams
08:26:39.55832 (1384.9196331)          Board unequipped
08:26:39.55832 (1384.9836871)          		RobloxView::RobloxView - start
08:26:39.55832 (1384.9836871)          			UserInput
08:26:39.55832 (1385.0586400)          			Marshaller
08:26:39.55832 (1385.0596398)          			ProfilingSection
08:26:39.55832 (1385.0596398)          			BindToWorkspace
08:26:39.55832 (1385.2216545)          			RenderRequestJob
08:26:39.55832 (1385.2216545)          			RenderJob
08:26:39.55832 (1385.2216545)          			WrapMouseJob
08:26:39.55832 (1385.2216545)          			ConfigureStats
08:26:39.55832 (1385.2226546)          		RobloxView::RobloxView - end
08:27:24.35296 (1430.2627339)          Auto-Saving...
08:27:25.36296 (1430.9828334)          		RobloxView::RobloxView - start
08:27:25.36296 (1430.9828334)          			UserInput
08:27:25.36296 (1431.0728411)          			Marshaller
08:27:25.36296 (1431.0728411)          			ProfilingSection
08:27:25.36296 (1431.0738412)          			BindToWorkspace
08:27:25.36296 (1431.3018575)          			RenderRequestJob
08:27:25.36296 (1431.3028576)          			RenderJob
08:27:25.36296 (1431.3048577)          			WrapMouseJob
08:27:25.36296 (1431.3048577)          			ConfigureStats
08:27:25.36296 (1431.3048577)          		RobloxView::RobloxView - end
08:27:37.48296 (1442.8816231)          		RobloxView::RobloxView - start
08:27:37.48296 (1442.8826238)          			UserInput
08:27:37.48296 (1442.9805128)          			Marshaller
08:27:37.48296 (1442.9805128)          			ProfilingSection
08:27:37.48296 (1442.9805128)          			BindToWorkspace
08:27:37.48296 (1443.1295883)          			RenderRequestJob
08:27:37.48296 (1443.1295883)          			RenderJob
08:27:37.48296 (1443.1295883)          			WrapMouseJob
08:27:37.48296 (1443.1295883)          			ConfigureStats
08:27:37.48296 (1443.1295883)          		RobloxView::RobloxView - end
08:28:46.51760 (1512.1194654)          Auto-Saving...
08:30:15.9688 (1600.9453606)          Auto-Saving...
08:30:16.10688 (1601.9995264)          		RobloxView::RobloxView - start
08:30:16.10688 (1601.9995264)          			UserInput
08:30:16.10688 (1602.2555397)          			Marshaller
08:30:16.10688 (1602.2555397)          			ProfilingSection
08:30:16.10688 (1602.2555397)          			BindToWorkspace
08:30:16.10688 (1602.3959805)          			RenderRequestJob
08:30:16.10688 (1602.3959805)          			RenderJob
08:30:16.10688 (1602.3969832)          			WrapMouseJob
08:30:16.10688 (1602.3969832)          			ConfigureStats
08:30:16.10688 (1602.3969832)          		RobloxView::RobloxView - end
08:30:18.12688 (1604.2387081)          count5
08:30:58.52688 (1643.7400085)          		RobloxView::RobloxView - start
