27.05.2015 08:04:23.30552 (48.9180849)Log "Roblox TaskScheduler Thread 2"
08:04:23.30552 (48.9180849)          DataModel Loading http://www.roblox.com/asset/?id=95206881
08:06:23.19480 (169.3531583) Warning: doLoadAppearance http://www.roblox.com/Asset/?versionid=115199012&serverplaceid=95206881 time: 8.509761
08:06:23.19480 (169.3981517) Warning: doLoadAppearance http://www.roblox.com/Asset/?versionid=339951177&serverplaceid=95206881 time: 8.548757
08:06:23.19480 (169.3991517) Warning: doLoadAppearance http://www.roblox.com/Asset/?versionid=339950145&serverplaceid=95206881 time: 8.553756
08:06:23.19480 (169.4021517) Warning: doLoadAppearance http://www.roblox.com/Asset/?versionid=17154402&serverplaceid=95206881 time: 8.560754
08:06:23.19480 (169.4051516) Warning: doLoadAppearance http://www.roblox.com/Asset/?versionid=496124344&serverplaceid=95206881 time: 8.555758
08:06:29.25480 (175.5436686)          Layout Set Buttons index=1, InsertSets=8
08:23:12.45440 (1178.0714397)          Exhausted
08:23:12.45440 (1178.0754405)          Done speed boosting
08:24:27.54904 (1253.2046585)          Jumping
08:24:31.58904 (1256.6843458)          Exhausted
08:24:31.58904 (1256.6843458)          Done speed boosting
08:26:32.48832 (1378.1231577)          Baseplate waiting for Teams
08:26:32.48832 (1378.3161229)          Baseplate waiting for Teams
08:26:32.48832 (1378.3511739)          Baseplate waiting for Teams
08:26:32.48832 (1378.3811781)          Baseplate waiting for Teams
08:26:32.48832 (1378.4891808)          Baseplate waiting for Teams
08:26:32.48832 (1378.5251828)          Baseplate waiting for Teams
08:26:32.48832 (1378.5791920)          Baseplate waiting for Teams
08:26:33.49832 (1378.8822223)          Baseplate waiting for Teams
08:26:33.49832 (1378.9422280)          Baseplate waiting for Teams
08:26:33.49832 (1378.9732316)          Baseplate waiting for Teams
08:26:33.49832 (1379.0112360)          Baseplate waiting for Teams
08:26:33.49832 (1379.0452336)          Baseplate waiting for Teams
08:26:33.49832 (1379.1152375)          Baseplate waiting for Teams
08:26:33.49832 (1379.3183635)          Baseplate waiting for Teams
08:26:33.49832 (1379.6397803)          Baseplate waiting for Teams
08:26:34.50832 (1379.7147894)          Baseplate waiting for Teams
08:26:34.50832 (1379.7487862)          Baseplate waiting for Teams
08:26:34.50832 (1379.9418108)          Baseplate waiting for Teams
08:26:34.50832 (1379.9768160)          Baseplate waiting for Teams
08:26:34.50832 (1380.0489273)          Baseplate waiting for Teams
08:26:34.50832 (1380.0832821)          Baseplate waiting for Teams
08:26:34.50832 (1380.1196578)          Baseplate waiting for Teams
08:26:34.50832 (1380.2130641)          Baseplate waiting for Teams
08:26:34.50832 (1380.2899048)          Baseplate waiting for Teams
08:26:34.50832 (1380.3239242)          Baseplate waiting for Teams
08:26:34.50832 (1380.3578316)          Baseplate waiting for Teams
08:26:34.50832 (1380.3918185)          Baseplate waiting for Teams
08:26:34.50832 (1380.4268051)          Baseplate waiting for Teams
