28.05.2015 08:12:52.15264 (0.5580855)Log "Roblox"
08:12:52.15264 (0.5580855)          Http initialization M1 = 0xd491f0 M2=0xd491f4
08:12:52.15264 (0.6810176)          ROBLOX InitInstance
08:12:53.16264 (1.4526329)          CrashReporter Start
08:12:53.16264 (1.5359983)          C:\Users\Student\Downloads\ROBLOX-Portable\RobloxVersions\latest\RobloxApp.exe
08:13:01.24264 (8.7767151)          setAssetFolder C:\Users\Student\DOWNLO~1\ROBLOX~1\ROBLOX~2\latest\content
08:13:01.24264 (9.1267093)          GlobalSettings ---------------------------------------
08:13:01.24264 (9.1267093)          	Game Options
08:13:01.24264 (9.1267093)          		Behavior.Archivable: true
08:13:01.24264 (9.1267093)          		Online.BubbleChatLifetime: 30
08:13:01.24264 (9.1267093)          		Online.BubbleChatMaxBubbles: 3
08:13:01.24264 (9.1267093)          		Online.ChatHistory: 100
08:13:01.24264 (9.1267093)          		Online.ChatScrollLength: 5
08:13:01.24264 (9.1277098)          		Data.ClassName: GameSettings
08:13:01.24264 (9.1277098)          		Sound.CollisionSoundEnabled: true
08:13:01.24264 (9.1277098)          		Sound.CollisionSoundVolume: 10
08:13:01.24264 (9.1277098)          		Data.DataCost: 4
08:13:01.24264 (9.1277098)          		Input.HardwareMouse: false
08:13:01.24264 (9.1277098)          		Screenshots.ImageUploadPromptBehavior: Ask
08:13:01.24264 (9.1277098)          		Sound.MaxCollisionSounds: -1
08:13:01.24264 (9.1277098)          		Data.Name: Game Options
08:13:01.24264 (9.1277098)          		Online.ReportAbuseChatHistory: 50
08:13:01.24264 (9.1277098)          		Data.RobloxLocked: false
08:13:01.24264 (9.1277098)          		Sound.SoftwareSound: false
08:13:01.24264 (9.1277098)          		Sound.SoundEnabled: true
08:13:01.24264 (9.1277098)          		Video.VideoCaptureEnabled: true
08:13:01.24264 (9.1277098)          		Video.VideoQuality: MediumResolution
08:13:01.24264 (9.1277098)          		Behavior.archivable: true
08:13:01.24264 (9.1287102)          		Data.className: GameSettings
08:13:01.24264 (9.1287102)          	Lua
08:13:01.24264 (9.1287102)          		Behavior.Archivable: true
08:13:01.24264 (9.1287102)          		Diagnostics.AreScriptStartsReported: false
08:13:01.24264 (9.1287102)          		Data.ClassName: LuaSettings
08:13:01.24264 (9.1287102)          		Data.DataCost: 4
08:13:01.24264 (9.1287102)          		Settings.DefaultWaitTime: 0
08:13:01.24264 (9.1287102)          		Garbage Collection.GcFrequency: 0
08:13:01.24264 (9.1287102)          		Garbage Collection.GcLimit: 2
08:13:01.24264 (9.1287102)          		Garbage Collection.GcPause: 200
08:13:01.24264 (9.1287102)          		Garbage Collection.GcStepMul: 200
08:13:01.24264 (9.1287102)          		Data.Name: Lua
08:13:01.24264 (9.1287102)          		Data.RobloxLocked: false
08:13:01.24264 (9.1287102)          		Behavior.archivable: true
08:13:01.24264 (9.1287102)          		Data.className: LuaSettings
08:13:01.24264 (9.1287102)          	Diagnostics
08:13:01.24264 (9.1287102)          		Performance.AltCdnFailureCount: 0
08:13:01.24264 (9.1287102)          		Performance.AltCdnSuccessCount: 0
08:13:01.24264 (9.1287102)          		Behavior.Archivable: true
08:13:01.24264 (9.1587230)          		Performance.AvailablePhysicalMemory: 901
08:13:01.24264 (9.1587230)          		Performance.BlockMeshSize: 0
08:13:01.24264 (9.1597235)          		Profile.CPU: AMD E1-6010 APU with AMD Radeon R2 Graphics    
08:13:01.24264 (9.1597235)          		Performance.CdnFailureCount: 0
08:13:01.24264 (9.1597235)          		Performance.CdnResponceTime: 0
08:13:01.24264 (9.1597235)          		Performance.CdnSuccessCount: 0
08:13:01.24264 (9.1597235)          		Data.ClassName: DebugSettings
08:13:01.24264 (9.1607239)          		Profile.CpuCount: 2
08:13:01.24264 (9.1607239)          		Profile.CpuSpeed: 1347
08:13:01.24264 (9.1607239)          		Data.DataCost: 4
08:13:01.24264 (9.1607239)          		Performance.DataModel: 0
08:13:01.24264 (9.1607239)          		Performance.ElapsedTime: 0
08:13:01.24264 (9.1607239)          		Limits.EnforceInstanceCountLimit: false
08:13:01.24264 (9.1617243)          		Errors.ErrorReporting: Report
08:13:05.28264 (13.5207762)          		Profile.GfxCard: AMD Radeon(TM) R2 Graphics drv=13.351.1105.1001
08:13:05.28264 (13.5217764)          		Performance.InstanceCount: 12
08:13:05.28264 (13.5217764)          		Limits.InstanceCountLimit: 0
08:13:05.28264 (13.5217764)          		Benchmarking.IsFmodProfilingEnabled: false
08:13:05.28264 (13.5217764)          		Benchmarking.IsProfilingEnabled: false
08:13:05.28264 (13.5217764)          		Errors.IsScriptStackTracingEnabled: true
08:13:05.28264 (13.5217764)          		Performance.JobCount: 0
08:13:05.28264 (13.5217764)          		Performance.LastCdnFailureTimeSpan: 0
08:13:05.28264 (13.5217764)          		Limits.LuaRamLimit: 0
08:13:05.28264 (13.5217764)          		Data.Name: Diagnostics
08:13:05.28264 (13.5217764)          		Performance.NameDatabaseBytes: 139968
08:13:05.28264 (13.5217764)          		Performance.NameDatabaseSize: 2187
08:13:05.28264 (13.5217764)          		Profile.OsPlatform: Win32
08:13:05.28264 (13.5217764)          		Profile.OsPlatformId: 2
08:13:05.28264 (13.5217764)          		Profile.OsVer: 148.6.1.7601
08:13:05.28264 (13.5227765)          		Performance.PageFaultsPerSecond: 0
08:13:05.28264 (13.5227765)          		Performance.PageFileBytes: 0
08:13:05.28264 (13.5227765)          		Profile.PixelShaderModel: 0
08:13:05.28264 (13.5227765)          		Performance.PlayerCount: 0
08:13:05.28264 (13.5227765)          		Performance.PrivateBytes: 0
