27.05.2015 10:30:04.55264 (0.8304834)Log "RobloxStudio"
10:30:04.55264 (0.8304834)          CrashReporter Start
10:30:04.55264 (0.8604869)          Initializing CrashEvent request, url: http://www.roblox.com/Error/Dmp.ashx?filename=C%3A%5CUsers%5CStudent%5CAppData%5CLocal%5CRoblox%5Clogs%5Clog%5FA0A2F%200%2C%20196%2C%200%2C%2059751%2ERobloxStudio%2Ecrashevent
10:30:04.55264 (0.8614871)          RobloxMainWindow::RobloxMainWindow - start
10:30:05.56264 (2.3255590)          setAssetFolder D:/ROBLOX-Portable-master/RobloxVersions/version-615500bf52054337/content
10:30:13.64264 (10.6750990)          Use the new http api: yes
10:30:26.11728 (23.1026193)          RobloxMainWindow::handleFileOpen 
10:30:26.11728 (23.1036198)          RobloxMainWindow::handleFileOpen 
10:30:31.16728 (27.7574103)          RobloxMainWindow::handleFileOpen 
10:30:31.16728 (27.7604104)          RobloxIDEDoc::open - start
10:30:31.16728 (28.6394411)          	Locking DataModel
10:30:32.17728 (28.9393738)          	Initializing Ogre
10:30:32.17728 (28.9393738)          	Initializing View
10:30:32.17728 (29.0685488)          	Initializing Explorer
10:30:32.17728 (29.2704996)          	Loading File : C:/Users/Student/Documents/ROBLOX/AutoSaves/Place_AutoSave_0.rbxl
10:30:32.17728 (29.4385461)          	Initializing Terrain
10:30:32.17728 (29.4385461)          	Initializing Undo
10:30:32.17728 (29.5585577)          	Loading Plugins
10:30:33.18728 (30.5031390)          	Open Success
10:30:33.18728 (30.5211403)          RobloxIDEDoc::open - end
10:30:33.18728 (30.5211403)          Successfully opened file - C:/Users/Student/Documents/ROBLOX/AutoSaves/Place_AutoSave_0.rbxl
10:30:35.20728 (31.8932576)          		RobloxView::RobloxView - start
10:30:35.20728 (31.8932576)          			UserInput
10:30:35.20728 (32.3322998)          			Marshaller
10:30:35.20728 (32.3322998)          			ProfilingSection
10:30:35.20728 (32.3322998)          			BindToWorkspace
10:30:35.20728 (32.5672994)          			RenderRequestJob
10:30:35.20728 (32.5682993)          			RenderJob
10:30:35.20728 (32.5682993)          			WrapMouseJob
10:30:35.20728 (32.5682993)          			ConfigureStats
10:30:35.20728 (32.5692992)          		RobloxView::RobloxView - end
10:30:36.21728 (33.3913714)          RobloxMainWindow::RobloxMainWindow - end
10:30:46.31728 (43.3692779)          Auto-Saving...
10:30:51.36728 (48.0996262)          		RobloxView::RobloxView - start
10:30:51.36728 (48.0996262)          			UserInput
10:30:51.36728 (48.3926406)          			Marshaller
10:30:51.36728 (48.3926406)          			ProfilingSection
10:30:51.36728 (48.3926406)          			BindToWorkspace
10:30:51.36728 (48.6996985)          			RenderRequestJob
10:30:51.36728 (48.6996985)          			RenderJob
10:30:51.36728 (48.6996985)          			WrapMouseJob
10:30:51.36728 (48.7006988)          			ConfigureStats
10:30:51.36728 (48.7006988)          		RobloxView::RobloxView - end
10:30:55.40728 (52.6495174) Error:   TR is not a valid member of Model
10:30:55.40728 (52.6525178)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:30:55.40728 (52.6545181)          Stack End
10:30:55.40728 (52.6555182) Error:   TR is not a valid member of Model
10:30:55.40728 (52.6575185)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:30:55.40728 (52.6605190)          Stack End
10:30:55.40728 (52.6625193) Error:   TR is not a valid member of Model
10:30:55.40728 (52.6645196)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:30:55.40728 (52.6665199)          Stack End
10:30:55.40728 (52.6695203) Error:   TR is not a valid member of Model
10:30:55.40728 (52.6715206)          Script 'Workspace.Energy Sword.Blade.TR', Line 2
10:30:55.40728 (52.6735209)          Stack End
10:30:55.40728 (52.6755212) Error:   TR is not a valid member of Model
10:30:55.40728 (52.6785216)          Script 'Workspace.Energy Sword.BladeTip.TR', Line 2
10:30:55.40728 (52.6805219)          Stack End
10:30:56.41728 (53.5476341) Error:   TR is not a valid member of Model
10:30:56.41728 (53.5506352)          Script 'Workspace.Energy Sword.Script', Line 4
10:30:56.41728 (53.5526359)          Stack End
10:31:11.56728 (68.2408191)          		RobloxView::RobloxView - start
10:31:11.56728 (68.2408191)          			UserInput
10:31:12.57728 (69.1749154)          			Marshaller
10:31:12.57728 (69.1759156)          			ProfilingSection
10:31:12.57728 (69.1759156)          			BindToWorkspace
10:31:12.57728 (69.3389072)          			RenderRequestJob
10:31:12.57728 (69.3389072)          			RenderJob
10:31:12.57728 (69.3389072)          			WrapMouseJob
10:31:12.57728 (69.3389072)          			ConfigureStats
10:31:12.57728 (69.3389072)          		RobloxView::RobloxView - end
10:31:45.25192 (102.5272018)          Auto-Saving...
10:31:50.30192 (107.3370972)          		RobloxView::RobloxView - start
10:31:50.30192 (107.3370972)          			UserInput
10:31:51.31192 (108.6382184)          			Marshaller
10:31:51.31192 (108.6382184)          			ProfilingSection
10:31:51.31192 (108.6382184)          			BindToWorkspace
