26.05.2015 09:25:31.48888 (0.3933876)Log "Roblox"
09:25:31.48888 (0.3933876)          Http initialization M1 = 0xd491f0 M2=0xd491f4
09:25:31.48888 (0.3973917)          ROBLOX InitInstance
09:25:32.49888 (1.2624925)          CrashReporter Start
09:25:32.49888 (1.3479973)          D:\ROBLOX-Portable-master\RobloxVersions\version-844560f43f354d3f\RobloxApp.exe
09:25:39.56888 (7.6143782)          setAssetFolder D:\ROBLOX~1\ROBLOX~2\VERSIO~1\content
09:25:39.56888 (7.7934271)          GlobalSettings ---------------------------------------
09:25:39.56888 (7.7934271)          	Game Options
09:25:39.56888 (7.7944325)          		Behavior.Archivable: true
09:25:39.56888 (7.7944325)          		Online.BubbleChatLifetime: 30
09:25:39.56888 (7.7944325)          		Online.BubbleChatMaxBubbles: 3
09:25:39.56888 (7.7944325)          		Online.ChatHistory: 100
09:25:39.56888 (7.7944325)          		Online.ChatScrollLength: 5
09:25:39.56888 (7.7944325)          		Data.ClassName: GameSettings
09:25:39.56888 (7.7944325)          		Sound.CollisionSoundEnabled: true
09:25:39.56888 (7.7944325)          		Sound.CollisionSoundVolume: 10
09:25:39.56888 (7.7944325)          		Data.DataCost: 4
09:25:39.56888 (7.7944325)          		Input.HardwareMouse: false
09:25:39.56888 (7.7944325)          		Screenshots.ImageUploadPromptBehavior: Ask
09:25:39.56888 (7.7944325)          		Sound.MaxCollisionSounds: -1
09:25:39.56888 (7.7944325)          		Data.Name: Game Options
09:25:39.56888 (7.7944325)          		Online.ReportAbuseChatHistory: 50
09:25:39.56888 (7.7954378)          		Data.RobloxLocked: false
09:25:39.56888 (7.7954378)          		Sound.SoftwareSound: false
09:25:39.56888 (7.7954378)          		Sound.SoundEnabled: true
09:25:39.56888 (7.7954378)          		Video.VideoCaptureEnabled: true
09:25:39.56888 (7.7954378)          		Video.VideoQuality: MediumResolution
09:25:39.56888 (7.7954378)          		Behavior.archivable: true
09:25:39.56888 (7.7954378)          		Data.className: GameSettings
09:25:39.56888 (7.7954378)          	Lua
09:25:39.56888 (7.7954378)          		Behavior.Archivable: true
09:25:39.56888 (7.7954378)          		Diagnostics.AreScriptStartsReported: false
09:25:39.56888 (7.7954378)          		Data.ClassName: LuaSettings
09:25:39.56888 (7.7954378)          		Data.DataCost: 4
