27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
16:31:18.36848 (2.1988357)          Initializing CrashEvent request, url: http://www.roblox.com/Error/Dmp.ashx?filename=C%3A%5CUsers%5CStudent%5CAppData%5CLocal%5CRoblox%5Clogs%5Clog%5FE37CF%200%2C%20196%2C%200%2C%2059751%2ERobloxStudio%2Ecrashevent
16:31:18.36848 (2.1998418)          RobloxMainWindow::RobloxMainWindow - start
16:31:22.40848 (6.1606923)          setAssetFolder D:/ROBLOX-Portable-master/RobloxVersions/version-615500bf52054337/content
16:31:29.47848 (13.0087445)          Use the new http api: yes
16:31:37.55848 (21.3722815)          RobloxMainWindow::handleFileOpen 
16:31:37.55848 (21.3732796)          RobloxMainWindow::handleFileOpen 
16:31:51.4312 (35.0750614)          RobloxMainWindow::RobloxMainWindow - end
16:32:49.62312 (93.4062384)          RobloxMainWindow::handleFileOpen http://www.roblox.com//Game/edit.ashx?PlaceID=235264088&upload=235264088&testmode=false
16:32:49.62312 (93.4072338)          RobloxIDEDoc::open - start
16:32:49.62312 (93.7832375)          	Locking DataModel
16:32:50.63312 (94.0972508)          	Initializing Ogre
16:32:50.63312 (94.0972508)          	Initializing View
16:32:50.63312 (94.1329664)          	Initializing Explorer
16:32:50.63312 (94.3322306)          	Loading File : 
16:32:50.63312 (94.4187871)          	Loading Plugins
16:32:52.65312 (96.2033857)          	Open Success
16:32:52.65312 (96.2293417)          RobloxIDEDoc::open - end
16:32:56.3776 (100.4609943)          		RobloxView::RobloxView - start
16:32:56.3776 (100.4609943)          			UserInput
16:32:58.5776 (102.0043363)          			Marshaller
16:32:58.5776 (102.0043363)          			ProfilingSection
16:32:58.5776 (102.0043363)          			BindToWorkspace
16:32:58.5776 (102.2198324)          			RenderRequestJob
16:32:58.5776 (102.2218321)          			RenderJob
16:32:58.5776 (102.2218321)          			WrapMouseJob
16:32:58.5776 (102.2218321)          			ConfigureStats
16:32:58.5776 (102.2228319)          		RobloxView::RobloxView - end
16:37:29.14632 (373.6355668)          Auto-Saving...
16:38:26.6096 (430.2404268)          IntelleSenseException: syntax error: [string ""]:1: '<eof>' expected near 'Sword'
16:38:26.6096 (430.6583186)          IntelleSenseException: syntax error: [string ""]:1: '<eof>' expected near 'Sword'
16:38:26.6096 (430.8794540)          IntelleSenseException: syntax error: [string ""]:1: '<eof>' expected near 'Sword'
16:38:27.7096 (430.9923026)          IntelleSenseException: syntax error: [string ""]:1: '<eof>' expected near 'Sword'
16:38:27.7096 (431.1005028)          IntelleSenseException: syntax error: [string ""]:1: '<eof>' expected near 'Sword'
