27.05.2015 16:40:33.2024 (557.5723296)Log "Roblox TaskScheduler Thread 1"
16:40:33.2024 (557.5733271) Error:   Workspace.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
16:40:33.2024 (557.5733271)          Stack Begin
16:40:33.2024 (557.5743245)          Script 'Workspace.Training Dummy.Respawn', Line 7
16:40:33.2024 (557.5743245)          Stack End
17:13:55.37944 (2558.7980975) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:13:55.37944 (2558.7990989)          Stack Begin
17:13:55.37944 (2558.7990989)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:13:55.37944 (2558.7990989)          Stack End
17:13:55.37944 (2558.9074653) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:13:55.37944 (2558.9074653)          Stack Begin
17:13:55.37944 (2558.9084616)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:13:55.37944 (2558.9084616)          Stack End
17:13:57.39944 (2560.8262902) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:13:57.39944 (2560.8262902)          Stack Begin
17:13:57.39944 (2560.8262902)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:13:57.39944 (2560.8262902)          Stack End
17:14:01.43944 (2564.8620880) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:01.43944 (2564.8640861)          Stack Begin
17:14:01.43944 (2564.8640861)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:01.43944 (2564.8640861)          Stack End
17:14:03.45944 (2567.1369420) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:03.45944 (2567.1379385)          Stack Begin
17:14:03.45944 (2567.1379385)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:03.45944 (2567.1379385)          Stack End
17:14:04.46944 (2568.1231516) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:04.46944 (2568.1231516)          Stack Begin
17:14:04.46944 (2568.1231516)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:04.46944 (2568.1231516)          Stack End
17:14:04.46944 (2568.1866779) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:04.46944 (2568.1866779)          Stack Begin
17:14:04.46944 (2568.1866779)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:04.46944 (2568.2561045)          Stack End
17:14:07.49944 (2571.2076150) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:07.49944 (2571.2076150)          Stack Begin
17:14:07.49944 (2571.2076150)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:07.49944 (2571.2076150)          Stack End
17:14:08.50944 (2572.2115961) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:08.50944 (2572.2125962)          Stack Begin
17:14:08.50944 (2572.2125962)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:08.50944 (2572.2125962)          Stack End
17:14:09.51944 (2573.2236704) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:09.51944 (2573.2246706)          Stack Begin
17:14:09.51944 (2573.2246706)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:09.51944 (2573.2246706)          Stack End
17:14:11.53944 (2575.2708761) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:11.53944 (2575.2718768)          Stack Begin
17:14:11.53944 (2575.2718768)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:11.53944 (2575.2718768)          Stack End
17:14:11.53944 (2575.2928902) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:11.53944 (2575.2928902)          Stack Begin
17:14:11.53944 (2575.2928902)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:11.53944 (2575.2928902)          Stack End
17:14:12.54944 (2576.3033163) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:12.54944 (2576.3043151)          Stack Begin
17:14:12.54944 (2576.3043151)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:12.54944 (2576.3043151)          Stack End
17:14:13.55944 (2577.3871853) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:13.55944 (2577.3881906)          Stack Begin
17:14:13.55944 (2577.3881906)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:13.55944 (2577.3881906)          Stack End
17:14:14.56944 (2578.3265398) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:14.56944 (2578.3275439)          Stack Begin
17:14:14.56944 (2578.3275439)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:14.56944 (2578.3275439)          Stack End
17:14:40.17408 (2604.0718844) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:40.17408 (2604.0718844)          Stack Begin
17:14:40.17408 (2604.0718844)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:40.17408 (2604.0718844)          Stack End
17:14:44.21408 (2608.1756507) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:44.21408 (2608.1766501)          Stack Begin
17:14:44.21408 (2608.1766501)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:44.21408 (2608.1766501)          Stack End
17:14:51.28408 (2615.4068788) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:51.28408 (2615.4068788)          Stack Begin
17:14:51.28408 (2615.4068788)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:51.28408 (2615.4068788)          Stack End
17:15:01.38408 (2625.5815013) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:15:01.38408 (2625.5815013)          Stack Begin
17:15:01.38408 (2625.5815013)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:15:01.38408 (2625.5815013)          Stack End
17:21:55.59192 (3038.9676054) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:55.59192 (3038.9676054)          Stack Begin
17:21:55.59192 (3038.9686055)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:55.59192 (3038.9706056)          Stack End
17:21:55.59192 (3038.9946075) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:55.59192 (3038.9946075)          Stack Begin
17:21:55.59192 (3038.9946075)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:55.59192 (3038.9946075)          Stack End
17:21:56.60192 (3039.9771673) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:56.60192 (3039.9771673)          Stack Begin
17:21:56.60192 (3039.9811676)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:56.60192 (3039.9811676)          Stack End
17:21:58.62192 (3042.0203192) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:21:58.62192 (3042.0283100)          Stack Begin
17:21:58.62192 (3042.0373099)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:21:58.62192 (3042.0453099)          Stack End
17:22:00.64192 (3044.0579511) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:22:00.64192 (3044.0579511)          Stack Begin
17:22:00.64192 (3044.0589511)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:22:00.64192 (3044.0589511)          Stack End
17:22:07.5656 (3051.1564465) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:22:07.5656 (3051.1574465)          Stack Begin
17:22:07.5656 (3051.1574465)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:22:07.5656 (3051.1574465)          Stack End
17:22:12.10656 (3056.2761143) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:22:12.10656 (3056.2771105)          Stack Begin
17:22:12.10656 (3056.2771105)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:22:12.10656 (3056.2771105)          Stack End
17:22:29.27656 (3073.5513281) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:22:29.27656 (3073.5513281)          Stack Begin
17:22:29.27656 (3073.5513281)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:22:29.27656 (3073.5513281)          Stack End
17:23:25.18120 (3128.9440408) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:25.18120 (3128.9440408)          Stack Begin
17:23:25.18120 (3128.9450409)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:25.18120 (3128.9450409)          Stack End
17:23:27.20120 (3130.9901852) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:27.20120 (3130.9901852)          Stack Begin
17:23:27.20120 (3130.9901852)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:27.20120 (3130.9901852)          Stack End
17:23:29.22120 (3133.0857659) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:29.22120 (3133.0857659)          Stack Begin
17:23:29.22120 (3133.0867649)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:29.22120 (3133.0867649)          Stack End
17:23:33.26120 (3137.2206295) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:33.26120 (3137.2216296)          Stack Begin
17:23:33.26120 (3137.2216296)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:33.26120 (3137.2216296)          Stack End
17:23:44.37120 (3148.5003762) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:44.37120 (3148.5003762)          Stack Begin
17:23:44.37120 (3148.5013763)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:44.37120 (3148.5013763)          Stack End
17:23:44.37120 (3148.5013763) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:44.37120 (3148.5013763)          Stack Begin
17:23:44.37120 (3148.5013763)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:44.37120 (3148.5013763)          Stack End
17:23:45.38120 (3149.2589207) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:45.38120 (3149.2589207)          Stack Begin
17:23:45.38120 (3149.2589207)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:45.38120 (3149.2589207)          Stack End
17:23:49.42120 (3153.6187369) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:49.42120 (3153.6187369)          Stack Begin
17:23:49.42120 (3153.6187369)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:49.42120 (3153.6187369)          Stack End
17:23:55.48120 (3159.2846250) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:55.48120 (3159.2856250)          Stack Begin
17:23:55.48120 (3159.2856250)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:55.48120 (3159.2866251)          Stack End
17:23:57.50120 (3160.8002254) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:57.50120 (3160.8012254)          Stack Begin
17:23:57.50120 (3160.8012254)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:57.50120 (3160.8012254)          Stack End
18:23:15.3640 (6719.1160912) Error:   exception while signalling: The Parent property of Workspace is locked, current parent: dkxe's Place, new parent Player
18:23:20.8640 (6723.7732019) Error:   exception while signalling: The Parent property of Workspace is locked, current parent: dkxe's Place, new parent Player
19:54:35.44152 (12199.0157910)          Boop recieved from zarm
19:54:36.45152 (12199.5058238)          Boop recieved from zarm
19:54:36.45152 (12199.5148252)          Boop recieved from zarm
19:54:45.54152 (12209.0243304)          Bang recieved from zarm
19:54:45.54152 (12209.1964619)          Boop recieved from zarm
19:54:46.55152 (12209.5363681)          Bang recieved from zarm
19:54:46.55152 (12209.8423924)          Boop recieved from zarm
19:54:47.56152 (12210.6019445)          Boop recieved from zarm
19:54:47.56152 (12210.9099553)          Boop recieved from zarm
19:54:47.56152 (12210.9949620)          Boop recieved from zarm
19:54:47.56152 (12211.1129562)          Boop recieved from zarm
19:54:47.56152 (12211.1469550)          Boop recieved from zarm
19:54:47.56152 (12211.2349607)          Boop recieved from zarm
19:54:48.57152 (12211.3209618)          Boop recieved from zarm
19:54:55.64152 (12219.0701280)          Bang recieved from zarm
19:54:55.64152 (12219.2421394)          Bang recieved from zarm
19:54:56.65152 (12219.2471392) Error:   Torso is not a valid member of Workspace
19:54:56.65152 (12219.2601388)          Script 'Workspace.Radioactive Zombie.zarm.My First Kill Script', Line 6
19:54:56.65152 (12219.2681385)          Stack End
19:54:57.616 (12220.2962185) Error:   Workspace.Radioactive Zombie.Respawn:7: attempt to index field 'Parent' (a nil value)
19:54:57.616 (12220.3042195)          Stack Begin
19:54:57.616 (12220.3111833)          Script 'Workspace.Radioactive Zombie.Respawn', Line 7
19:54:57.616 (12220.3181818)          Stack End
19:55:00.3616 (12224.0432514)          Boop recieved from zarm
19:55:00.3616 (12224.0722405)          Boop recieved from zarm
19:55:00.3616 (12224.1223036)          Boop recieved from zarm
19:55:01.4616 (12224.3292690)          Boop recieved from zarm
19:55:01.4616 (12224.3992682)          Boop recieved from zarm
19:55:01.4616 (12224.5562849)          Boop recieved from zarm
19:55:01.4616 (12224.5572849)          Boop recieved from zarm
19:55:01.4616 (12224.9783230)          Boop recieved from zarm
19:55:01.4616 (12224.9963255)          Boop recieved from zarm
19:55:02.5616 (12226.0703711)          Boop recieved from zarm
19:55:03.6616 (12226.4343529)          Boop recieved from zarm
19:55:03.6616 (12226.7293748)          Boop recieved from zarm
19:55:03.6616 (12227.1214124)          Boop recieved from zarm
19:55:03.6616 (12227.1244132)          Boop recieved from zarm
