27.05.2015 16:32:52.65312 (96.4541786)Log "Roblox TaskScheduler Thread 2"
16:32:52.65312 (96.4541786)          DataModel Loading http://www.roblox.com/asset/?id=235264088
17:14:01.43944 (2564.9960822) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:01.43944 (2564.9960822)          Stack Begin
17:14:01.43944 (2564.9970821)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:01.43944 (2564.9970821)          Stack End
17:14:02.44944 (2566.1251808) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:02.44944 (2566.1261809)          Stack Begin
17:14:02.44944 (2566.1261809)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:02.44944 (2566.1261809)          Stack End
17:14:05.47944 (2569.1732272) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:05.47944 (2569.1732272)          Stack Begin
17:14:05.47944 (2569.1732272)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:05.47944 (2569.1752331)          Stack End
17:14:05.47944 (2569.1902774) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:05.47944 (2569.1912804)          Stack Begin
17:14:05.47944 (2569.1912804)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:05.47944 (2569.1912804)          Stack End
17:14:07.49944 (2571.1866637) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:07.49944 (2571.1866637)          Stack Begin
17:14:07.49944 (2571.1866637)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:07.49944 (2571.1866637)          Stack End
17:14:07.49944 (2571.2997011) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:07.49944 (2571.3006940)          Stack Begin
17:14:07.49944 (2571.3006940)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:07.49944 (2571.3006940)          Stack End
17:14:08.50944 (2572.2659728) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:08.50944 (2572.2659728)          Stack Begin
17:14:08.50944 (2572.2659728)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:08.50944 (2572.2659728)          Stack End
17:14:39.16408 (2603.0925275) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:39.16408 (2603.0925275)          Stack Begin
17:14:39.16408 (2603.0925275)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:39.16408 (2603.0935289)          Stack End
17:14:45.22408 (2609.2737453) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:45.22408 (2609.2737453)          Stack Begin
17:14:45.22408 (2609.2737453)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:45.22408 (2609.2737453)          Stack End
17:14:45.22408 (2609.2777456) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:45.22408 (2609.2777456)          Stack Begin
17:14:45.22408 (2609.2777456)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:45.22408 (2609.2787457)          Stack End
17:14:46.23408 (2610.2708115) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:46.23408 (2610.2708115)          Stack Begin
17:14:46.23408 (2610.2708115)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:46.23408 (2610.2708115)          Stack End
17:14:48.25408 (2612.3184510) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:48.25408 (2612.3274513)          Stack Begin
17:14:48.25408 (2612.3274513)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:48.25408 (2612.3274513)          Stack End
17:14:48.25408 (2612.3294514) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:48.25408 (2612.3304514)          Stack Begin
17:14:48.25408 (2612.3304514)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:48.25408 (2612.3304514)          Stack End
17:14:50.27408 (2614.3815877) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:14:50.27408 (2614.3815877)          Stack Begin
17:14:50.27408 (2614.3815877)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:14:50.27408 (2614.3815877)          Stack End
17:15:04.41408 (2628.6407452) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:15:04.41408 (2628.6407452)          Stack Begin
17:15:04.41408 (2628.6407452)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:15:04.41408 (2628.6417439)          Stack End
17:15:07.44408 (2631.6465766) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:15:07.44408 (2631.6465766)          Stack Begin
17:15:07.44408 (2631.6465766)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:15:07.44408 (2631.6465766)          Stack End
17:15:28.65408 (2651.8721747) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:15:28.65408 (2651.8721747)          Stack Begin
